date,open,high,low,close,volume
1/3/2012,108.48,109.95,105.11,105.94,1906700
1/4/2012,102.15,105.05,99.6,104.32,2644600
1/5/2012,104.02,105.38,102.75,105.23,1259100
1/6/2012,106.43,107.12,105.25,106.72,1370100
1/9/2012,107.6,112.26,107.6,110.49,2422400
1/10/2012,111.99,112.85,108.411,109.61,1658100
1/11/2012,109.91,111.85,109.65,110.72,1427900
1/12/2012,110.92,111.75,108.03,110.81,1358100
1/13/2012,109.69,110.06,106.01,106.78,1852700
1/17/2012,108.76,108.76,105.45,106.31,1286600
1/18/2012,106.61,109.24,106.19,108.46,2646000
1/19/2012,118.47,122.63,116.49,120,7044500
1/20/2012,119,121.5,118.6001,120.27,1955200
1/23/2012,120.1,122.2281,119.62,121.02,1711400
1/24/2012,120.65,124.29,119.94,123.1,1784500
1/25/2012,123.4,123.5,121.14,122.48,1031000
1/26/2012,123.45,124.02,119.85,120.82,1705200
1/27/2012,117.0001,120.6,116.84,120.16,2185000
1/30/2012,119,121,117.75,120.1,1067000
1/31/2012,121.18,121.2,119.12,119.74,1033900
2/1/2012,121.17,123.45,119.5,122.42,1564200
2/2/2012,121.75,122.82,120.05,120.52,1867500
2/3/2012,121.9,125,121.576,124.77,1919800
2/6/2012,124.76,125,123.55,125,1038200
2/7/2012,124.92,127.81,124.18,126.4,1540600
2/8/2012,127.06,127.37,124.35,125.4,1039700
2/9/2012,126,126,123.52,125.75,837700
2/10/2012,124.3,125.759,123.53,124.01,884600
2/13/2012,125.1599,125.94,123.5,125,909800
2/14/2012,124.86,125.89,124.02,125.78,957800
2/15/2012,126,129.66,126,126.72,1692600
2/16/2012,126.97,127.83,125.28,127.45,1091400
2/17/2012,127.41,127.98,124.59,124.92,1122100
2/21/2012,125.45,127.64,124.31,125.42,1029200
2/22/2012,125,126.79,123.565,126.58,1154800
2/23/2012,126.06,128.82,125.6,128.7,1073200
2/24/2012,129.98,130.27,126.96,127.48,984000
2/27/2012,126.63,129.27,125.61,128.29,905600
2/28/2012,128.51,128.67,125.71,127.02,781500
2/29/2012,127.5,128.25,124.79,124.96,884400
3/1/2012,125.74,127.6,125.03,127.33,1016200
3/2/2012,126.96,128.51,126.01,127.01,729700
3/5/2012,126.97,127.4,123.7,124.49,917400
3/6/2012,121.03,122.97,119.5,121.26,1479000
3/7/2012,122.5,125.57,122.5,124.75,1084400
3/8/2012,125.96,126.8,124.18,124.26,962000
3/9/2012,124.6,126.36,123.5,125.61,756200
3/12/2012,126.34,126.34,124.59,125.85,857400
3/13/2012,126.85,132.75,126.7,132.72,2206200
3/14/2012,133.21,133.6,130.82,131.86,1437300
3/15/2012,132,133.998,130.7,132.31,1132900
3/16/2012,132.1,133.06,130.99,131.91,921300
3/19/2012,132.64,135.84,132.15,132.73,1191200
3/20/2012,131.1,131.31,128.37,129.51,1633700
3/21/2012,130.2,132.4,129.37,131.36,1140900
3/22/2012,131.14,132.87,129.5,132.47,1085800
3/23/2012,132.38,132.5,130.47,132.13,710400
3/26/2012,133.75,135.57,133.01,134.8,971900
3/27/2012,134.94,135.93,134,134.11,878400
3/28/2012,133,135.28,132.31,134.05,912200
3/29/2012,132.81,135.15,132.2,134.86,860300
3/30/2012,135.67,136.46,132.64,134.96,1217000
4/2/2012,135.05,137.59,134.11,136.66,1065700
4/3/2012,136.78,139.46,136.64,138.06,1383100
4/4/2012,136.9,137.88,134.24,136.11,1286900
4/5/2012,135.33,136.11,133.42,135.93,903600
4/9/2012,132.56,133.81,131.19,132.88,1022700
4/10/2012,133,134.67,127.66,128.3,1766400
4/11/2012,122.9,125.16,120.01,122.65,3687600
4/12/2012,123.19,126.25,121.37,124.15,2056500
4/13/2012,124.38,124.73,121.77,122.12,1933600
4/16/2012,123.45,124.51,120.71,122.04,1787200
4/17/2012,123.44,124.99,122.93,123.75,1440000
4/18/2012,124.77,125.08,122.1501,124.21,2626900
4/19/2012,133.79,139.2,131.3022,133.98,6221700
4/20/2012,134.04,134.648,131.51,131.63,1875300
4/23/2012,130.24,131.88,128.5,130.85,1687000
4/24/2012,130.75,131.12,127.38,129.28,1366500
4/25/2012,129.7,130.85,127.07,130.72,1931900
4/26/2012,130.6,133.67,130.01,133.41,1367400
4/27/2012,133.43,136.94,132.66,136.11,1188600
4/30/2012,136.09,136.1,133.33,133.93,858700
5/1/2012,132.94,135.78,132.7,133.68,1081400
5/2/2012,131.46,136.69,131.22,136.26,1641000
5/3/2012,136,138.67,135.39,136.23,1633000
5/4/2012,135.04,135.82,130.78,131.9,1300600
5/7/2012,131,133.4,130.71,131.61,973000
5/8/2012,130.19,130.7,125.02,128.87,1521400
5/9/2012,127.41,130.5,125.6,129.39,1422900
5/10/2012,129.09,129.2,123.27,124.08,2575300
5/11/2012,123,127.47,122.35,125.91,1995500
5/14/2012,124.29,126.27,123.2,125.53,1044800
